from,to,relationship
uvdl, CDU, 3
lk, SPD, 1
nr, CDU, 2
sw, Linke, 1
cs, none, 3
cl, FDP, 3
ksch, none, 3
lm, none, 3
el, independent, 3
kd, none, 3
ab, Gruene, 2
ft, SPE, 2
am, none, 3
agf, FDP, 1
er, none, 3
rh, Gruene, 2
cm, none, 3
kp, none, 3
rk, CDU, 1
